color,discountReason,extras,gpu_brand,gpu_mem,hdd,name,old_price,os,price,processor,ram,screenMate,screenResol,screenSize,ssd,url,weight
 чорний,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics ,, HDD 500 ГБ ,Ноутбук HP 250 G4 (M9S89EA) (CND5509740) - Уцінка,13299, DOS ,11028, Intel Core i5-5200U (2.2 - 2.7 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""",,, 2.15 кг 
 сірий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GT 940MX, 2 ГБ ,,Ноутбук Dell Vostro 14 5468 (N016VN5468EMEA01_U) (2Z43Z32) - Уцінка,20508, Linux ,17117, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1366x768,"14""", SSD 256 ГБ ,, 1.59 кг 
 сірий ,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel UHD Graphics 620 ,, HDD 1 ТБ ,Ноутбук Asus VivoBook S14 S410UA (S410UA-EB106T) Grey (HAN0GR00Z933416) - Уцінка,29499, Windows 10 ,25200, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 12 ГБ ,матовий,1920x1080,"14.0""", SSD 256 ГБ ,, 1.43 кг 
 чорний,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics ,, HDD 500 ГБ ,Ноутбук HP 250 G4 (M9S89EA) (CND550960M) - Уцінка,13299, DOS ,10265, Intel Core i5-5200U (2.2 - 2.7 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""",,, 2.15 кг 
 білий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 940MX, 2 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook 15 X542UQ (X542UQ-DM045) White (H9N0CV04N486362) - Уцінка,18599, Endless OS ,15840, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""",,, 2.3 кг 
 сріблястий,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GT 940MX, 2 ГБ ,,Ноутбук Lenovo IdeaPad 710S Plus-13ISK (80VU002PRA) Silver (SMP172D4C) - Уцінка,28939, Windows 10 Home ,25065, Intel Core i7-6500U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,глянсовий,P,"13.3""", SSD 512 ГБ ,, 1.18 кг 
 сірий металік ,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX150, 2 ГБ ,,Ноутбук Asus ZenBook UX430UN (UX430UN-GV044T) Grey Metal (HBN0CV09M81746C) - Уцінка,30399, Windows 10 ,25764, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"14.0""", SSD 256 ГБ ,, 1.3 кг 
 сірий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 620 ,, HDD 1 ТБ ,Ноутбук HP ProBook 430 G5 (1LR32AV_V4) Silver (5CD7503MDS) - Уцінка,19391, DOS ,16179, Intel Core i3-7100U (2.4 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"13.3""", SSD 128 ГБ ,, 1.49 кг 
 чорний,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics ,, HDD 500 ГБ ,Ноутбук HP 250 G4 (M9S89EA) (CND5509C2S) - Уцінка,13299, DOS ,11226, Intel Core i5-5200U (2.2 - 2.7 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""",,, 2.15 кг 
 золотистий ,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX150, 2 ГБ ,,Ноутбук ASUS ZenBook UX430UN-GV049T (90NB0GH6-M00620) Gold (HBN0CV015827444) - Уцінка,29740, Windows 10 ,24749, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"14.0""", SSD 256 ГБ ,, 1.3 кг 
 сірий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 620 ,,,Ноутбук Dell Vostro 14 5468 (N017VN5468EMEA01_1801_UBU) (7L6D9H2) - Уцінка,20499, Linux ,16029, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1366x768,"14""", SSD 256 ГБ ,, 1.59 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 620 ,,,Ноутбук Dell Latitude 5480 (N038L548014EMEA_D) (FXGGGH2) - Уцінка,27566, DOS ,20078, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"14.0""", SSD 256 ГБ ,, 1.6 кг 
 чорний,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics ,, HDD 500 ГБ ,Ноутбук HP 250 G4 (M9S89EA) (CND5509891) - Уцінка,13299, DOS ,10985, Intel Core i5-5200U (2.2 - 2.7 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""",,, 2.15 кг 
 чорний,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics ,, HDD 500 ГБ ,Ноутбук HP 250 G4 (M9S89EA) (CND55098LV) - Уцінка,13299, DOS ,11113, Intel Core i5-5200U (2.2 - 2.7 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""",,, 2.15 кг 
 чорний,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics ,, HDD 500 ГБ ,Ноутбук HP 250 G4 (M9S89EA) (CND55097S6) - Уцінка,13299, DOS ,11381, Intel Core i5-5200U (2.2 - 2.7 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""",,, 2.15 кг 
 сірий,,"' DVD+', '-RW ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel UHD 620 ,,,Ноутбук Lenovo IdeaPad V330-15IKB (81AX00ARRA) Iron Grey (SR90Q0Z5Z) - Уцінка,24173, Windows 10 Pro 64bit ,19980, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 8 ГБ ,покриттям,1920x1080,"15.6""", SSD 256 ГБ ,, 1.8 кг 
 темно-сірий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 940MX, 2 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook 15 X542UQ (X542UQ-DM028) Dark Grey (H8N0CV01J507312) - Уцінка,23711, Endless OS ,20610, Intel Core i7-7500U (2.7 - 3.5 ГГц) , RAM 16 ГБ ,матовий,1920x1080,"15.6""", SSD 128 ГБ ,, 2.15 кг 
 сірий ,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX150, 4 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook S14 S410UN (S410UN-EB056T) Grey (HBN0GR03290746C) - Уцінка,29099, Windows 10 ,25109, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 12 ГБ ,матовий,1920x1080,"14.0""", SSD 256 ГБ ,, 1.43 кг 
 чорний,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics ,, HDD 500 ГБ ,Ноутбук HP 250 G4 (M9S89EA) (CND55097TP) - Уцінка,13299, DOS ,11117, Intel Core i5-5200U (2.2 - 2.7 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""",,, 2.15 кг 
 чорний,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics ,, HDD 500 ГБ ,Ноутбук HP 250 G4 (M9S89EA) (CND55098L3) - Уцінка,13299, DOS ,11250, Intel Core i5-5200U (2.2 - 2.7 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""",,, 2.15 кг 
 чорний,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics ,, HDD 500 ГБ ,Ноутбук HP 250 G4 (M9S89EA) (CND55098JS) - Уцінка,13299, DOS ,11117, Intel Core i5-5200U (2.2 - 2.7 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""",,, 2.15 кг 
 золотистий ,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 1050, 4 ГБ , HDD 1 ТБ ,Ноутбук Asus Vivobook Pro N580VD (N580VD-FY440) Gold (J1N0CV01J396017) - Уцінка,29599, Endless OS ,26099, Intel Core i5-7300HQ (2.5 - 3.5 ГГц) , RAM 8 ГБ ,матовий,P,"15.6""", SSD 128 ГБ ,, 2.2 кг 
 чорний,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics ,, HDD 500 ГБ ,Ноутбук HP 250 G4 (M9S89EA) (CND55099GZ) - Уцінка,13299, DOS ,11117, Intel Core i5-5200U (2.2 - 2.7 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""",,, 2.15 кг 
 камуфляж,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 1060, 3 ГБ , HDD 1 ТБ ,Ноутбук MSI GE62VR-7RF Camo Squad (GE62VR7RF-662UA) (K1704N0013222) - Уцінка,55999, Windows 10 ,38234, Intel Core i7-7700HQ (2.8 - 3.8 ГГц) , RAM 16 ГБ ,матовий,P,"15.6""", SSD 256 ГБ ,, 2.4 кг 
 чорний,,"' DVD+', '-RW ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 520 ,,,Ноутбук HP 250 G6 (1XN71EA) Dark Ash (CND7373Q8R) - Уцінка,16623, Windows 10 Pro 64bit ,12221, Intel Core i3-6006U (2.0 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""", SSD 128 ГБ ,, 1.86 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", AMD Radeon RX 540, 2 ГБ , HDD 1 ТБ ,Ноутбук Acer Aspire 5 A515-41G (NH.GPYEU.001) Obsidian Black (NHGPYEU001804036883400) - Уцінка,13999, Linux ,12555, AMD A10-9620P (2.5 - 3.4 ГГц) , RAM 8 ГБ ,матовий,P,"15.6""",,, 2.2 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GT 940MX, 2 ГБ , HDD 1 ТБ ,Ноутбук Lenovo IdeaPad 320-15IKB (80XL02R5RA) Onyx Black (SPF10XCZH) - Уцінка,15699, DOS ,14415, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""",,, 2.2 кг 
 сріблястий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 930MX, 2 ГБ ,,Ноутбук HP ProBook 450 G5 (1LU52AV_V12) (5CD8136J67) - Уцінка,27298, DOS ,22612, Intel Core i7-8550U (1.8 - 4.0 ГГц) , RAM 8 ГБ ,матовий,P,"15.6""", SSD 256 ГБ ,, 2.1 кг 
 темно-сірий,,"' DVD±RW ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 520 ,, HDD 500 ГБ ,Ноутбук HP 250 G6 (3QL43ES) Dark Ash (CND8104QZG) - Уцінка,12854, DOS ,10614, Intel Core i3-6006U (2.0 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""",,, 1.86 кг 
 сірий металік ,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 1050, 4 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook Pro 15 N580VD (N580VD-DM441T) Grey Metal (HAN0CV207985434) - Уцінка,27666, Windows 10 ,24699, Intel Core i5-7300HQ (2.5 - 3.5 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""", SSD 128 ГБ ,, 1.99 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", AMD Radeon RX 540, 2 ГБ , HDD 1 ТБ ,Ноутбук Acer Aspire 5 A515-41G (NH.GPYEU.001) Obsidian Black (NHGPYEU001804033EF3400) - Уцінка,13999, Linux ,12555, AMD A10-9620P (2.5 - 3.4 ГГц) , RAM 8 ГБ ,матовий,P,"15.6""",,, 2.2 кг 
 сріблястий,,"' без ОД ', ' LAN ', ' Wi- Fi ', ' Bluetooth ', ' веб-камера '", AMD Radeon 530, 4 ГБ , HDD 1 ТБ ,Ноутбук HP 15-bw564ur (2LD99EA) Silver (CND7291LZV) - Уцінка,13999, DOS ,11500, AMD Quad-Core A12-9720P (2.7 - 3.6 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""",,, 2.1 кг 
 сірий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GT 940MX, 4 ГБ , HDD 1 ТБ ,Ноутбук Dell Vostro 15 5568 (N036VN5568EMEA01_1801_UBU) (1V76ZL2) - Уцінка,19599, Linux ,18526, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""",,, 1.98 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", AMD Radeon RX 540, 2 ГБ , HDD 1 ТБ ,Ноутбук Acer Aspire 5 A515-41G (NH.GPYEU.001) Obsidian Black (NHGPYEU0018040348A3400) - Уцінка,13999, Linux ,12555, AMD A10-9620P (2.5 - 3.4 ГГц) , RAM 8 ГБ ,матовий,P,"15.6""",,, 2.2 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 620 ,,,Ноутбук Lenovo IdeaPad 320-15IKB (80XL02Q9RA) Onyx Black (SPF10WXLH) - Уцінка,17399, DOS ,14260, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""", SSD 256 ГБ ,, 2.2 кг 
 чорний,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics ,, HDD 500 ГБ ,Ноутбук HP 250 G4 (M9S89EA) (CND55097QX) - Уцінка,13299, DOS ,12090, Intel Core i5-5200U (2.2 - 2.7 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""",,, 2.15 кг 
сірий металік,,"'без ОД', 'Wi-Fi', 'Bluetooth', 'веб-камера'",nVidia GeForce 930MX, 2 ГБ,,Ноутбук ASUS VivoBook Flip 14 TP410UR-EC121T (90NB0FZ1-M01600) Star Grey (HBN0CX35E04048H) - Уцінка,30631,Windows 10,28129,Intel Core i5-7200U (2.5 - 3.1 ГГц),RAM 12 ГБ,глянсовий,1920x1080,"14.0""", SSD 256 ГБ,,1.6 кг
сірий,,"'без ОД', 'Wi-Fi', 'Bluetooth', 'веб камера'",Intel UHD Graphics 620,,,Ноутбук ASUS VivoBook S14 S406UA-BM152T (90NB0FX2-M03480) Grey (HCN0CV05S946498) - Уцінка,35099,Windows 10,30010,Intel Core i7-8550U (1.8 - 4.0 ГГц),RAM 16 ГБ,матовий,1920x1080,"14.0""",,,1.2 кг
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX150, 4 ГБ , HDD 1 ТБ ,Ноутбук Lenovo IdeaPad 320-17IKB (81BJ003JRA) Onyx Black (SPF112T3Y) - Уцінка,21999, DOS ,20235, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 8 ГБ ,матовий,P,"17.3""", SSD 128 ГБ ,, 2.8 кг 
 сірий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX150, 4 ГБ , HDD 1 ТБ ,Ноутбук Lenovo IdeaPad 320-17IKB (81BJ005MRA) Platinum Grey (SPF136EM8) - Уцінка,28525, DOS ,24795, Intel Core i7-8550U (1.8 - 4.0 ГГц) , RAM 16 ГБ ,матовий,P,"17.3""",,, 2.8 кг 
 чорний,,"' DVD+', '-RW ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", AMD Radeon R4 ,,,Ноутбук HP 255 G6 (2HG90ES) Dark Ash (CND8104SYC) - Уцінка,14655, Windows 10 Home 64bit ,12679, AMD Dual-Core A6-9220 (2.5 - 2.9 ГГц) , RAM 8 ГБ ,матовий,1366x768,"15.6""", SSD 256 ГБ ,, 1.86 кг 
 темно-сірий ,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 620 ,, HDD 1 ТБ ,Ноутбук Asus VivoBook Flip TP501UA (TP501UA-FZ210T) Dark Gray (H4N0CX12P124164) - Уцінка,26399, Windows 10 ,17253, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,Multitouch,1920x1080,"15.6""", SSD 128 ,, 2.2 кг 
 червоний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GT 940MX, 2 ГБ , HDD 1 ТБ ,Ноутбук Lenovo IdeaPad 320-15IKB (80XL02R3RA) Coral Red (SPF0R8KNE) - Уцінка,16399, DOS ,15246, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""",,, 2.2 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 1050, 2 ГБ , HDD 2 ТБ ,Ноутбук HP Pavilion Power 15-cb031ur (2LE38EA) Black (5CD7287XPL) - Уцінка,22499, DOS ,19716, Intel Core i5-7300HQ (2.5 - 3.5 ГГц) , RAM 8 ГБ ,матовий,P,"15.6""",,, 2.21 кг 
 бронзовий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GT 940MX, 2 ГБ ,,Ноутбук Lenovo IdeaPad 520-15IKB (80YL00M4RA) Bronze (SPF0WRWBW) - Уцінка,20999, DOS ,19507, Intel Core i7-7500U (2.7 - 3.5 ГГц) , RAM 8 ГБ ,матовий,P,"15.6""", SSD 256 ГБ ,, 2.2 кг 
 сірий,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX150, 2 ГБ ,,Ноутбук Lenovo IdeaPad 320S-13IKB (81AK00ALRA) Mineral Grey (SYD03WD3N) - Уцінка,21999, DOS ,20511, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 8 ГБ ,матовий,P,"13.3""", SSD 256 ГБ ,, 1.2 кг 
 сумка,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера ', ' DOS '", Intel UHD Graphics 620 ,, HDD 1 ТБ ,Ноутбук HP ProBook 430 G5 (1LR34AV_V2) Silver (5CD74179N9) - Уцінка,21999, 1.49 кг ,18693, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"13.3""", SSD 128 ГБ ,, сірий 
 темно-сірий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 940MX, 2 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook 15 X542UQ (X542UQ-DM003) Dark Grey (H9N0CV05881436G) - Уцінка,18499, Endless OS ,15881, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""",,, 2.15 кг 
чорний,,"'без ОД', 'Wi-Fi', 'Bluetooth', 'веб-камера'",NVIDIA GeForce GTX 1050Ti, 4 ГБ,,Ноутбук Acer Predator Helios 300 PH317-51 (NH.Q2MEU.017) Shale Black (NHQ2MEU017802081913400) - Уцінка,31599,Linux,25025,Intel Core i5-7300HQ (2.5 - 3.5 ГГц),RAM 8 ГБ,матовий,P,"17.3""",,,3 кг
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 1050, 4 ГБ ,,Ноутбук HP Pavilion Power 15-cb038ur (3FY78EA) Black (5CD8033F04) - Уцінка,27777, DOS ,23883, Intel Core i5-7300HQ (2.5 - 3.5 ГГц) , RAM 16 ГБ ,матовий,P,"15.6""", SSD 256 ГБ ,, 2.12 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 1060, 6 ГБ ,,Ноутбук HP Omen 15-ce057ur (3FY86EA) Black (5CD8035S12) - Уцінка,41444, DOS ,38385, Intel Core i7-7700HQ (2.8 - 3.8 ГГц) , RAM 16 ГБ ,матовий,P,"15.6""", SSD 256 ГБ ,, 2.56 кг 
 сірий,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX150, 2 ГБ ,,Ноутбук Lenovo IdeaPad 320S-13IKB (81AK00ALRA) Mineral Grey (SYD03FK7D) - Уцінка,21999, DOS ,19680, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 8 ГБ ,матовий,P,"13.3""", SSD 256 ГБ ,, 1.2 кг 
 темно-сірий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 940MX, 2 ГБ ,,Ноутбук Asus VivoBook 15 X542UQ (X542UQ-DM027T) Dark Grey (H7N0CV00568626F) - Уцінка,19299, Windows 10 ,15660, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 6 ГБ ,матовий,1920x1080,"15.6""", SSD 256 ГБ ,, 2.15 кг 
 темно-коричневий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 940MX, 2 ГБ ,,Ноутбук Asus Vivobook X556UQ (X556UQ-DM1226T) Dark Brown (H5N0CV125669219) - Уцінка,18999, Windows 10 ,16469, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 6 ГБ ,матовий,1920x1080,"15.6""", SSD 256 ГБ ,, 2.3 кг 
 чорний,,"' DVD ± RW ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 405 ,, HDD 500 ГБ ,Ноутбук Dell Inspiron 3552 (I35P45DIW-6B) Black (8K5FTJ2) - Уцінка,10199, Windows 10 Home ,8122, Intel Pentium N3710 (1.6 - 2.56 ГГц) , RAM 4 ГБ ,глянсовий,1366x768,"15.6""",,, 2.2 кг 
color,discountReason,extras,gpu_brand,gpu_mem,hdd,name,old_price,os,price,processor,ram,screenMate,screenResol,screenSize,ssd,url,weight
 камуфляж,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 1060, 3 ГБ , HDD 1 ТБ ,Ноутбук MSI GE62VR-7RF Camo Squad (GE62VR7RF-662UA) (K1704N0013222) - Уцінка,55999, Windows 10 ,38234, Intel Core i7-7700HQ (2.8 - 3.8 ГГц) , RAM 16 ГБ ,матовий,P,"15.6""", SSD 256 ГБ ,, 2.4 кг 
 чорний,,"' DVD+', '-RW ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 520 ,,,Ноутбук HP 250 G6 (1XN71EA) Dark Ash (CND7373Q8R) - Уцінка,16623, Windows 10 Pro 64bit ,12221, Intel Core i3-6006U (2.0 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""", SSD 128 ГБ ,, 1.86 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", AMD Radeon RX 540, 2 ГБ , HDD 1 ТБ ,Ноутбук Acer Aspire 5 A515-41G (NH.GPYEU.001) Obsidian Black (NHGPYEU001804036883400) - Уцінка,13999, Linux ,12555, AMD A10-9620P (2.5 - 3.4 ГГц) , RAM 8 ГБ ,матовий,P,"15.6""",,, 2.2 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GT 940MX, 2 ГБ , HDD 1 ТБ ,Ноутбук Lenovo IdeaPad 320-15IKB (80XL02R5RA) Onyx Black (SPF10XCZH) - Уцінка,15699, DOS ,14415, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""",,, 2.2 кг 
 сріблястий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 930MX, 2 ГБ ,,Ноутбук HP ProBook 450 G5 (1LU52AV_V12) (5CD8136J67) - Уцінка,27298, DOS ,22612, Intel Core i7-8550U (1.8 - 4.0 ГГц) , RAM 8 ГБ ,матовий,P,"15.6""", SSD 256 ГБ ,, 2.1 кг 
 темно-сірий,,"' DVD±RW ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 520 ,, HDD 500 ГБ ,Ноутбук HP 250 G6 (3QL43ES) Dark Ash (CND8104QZG) - Уцінка,12854, DOS ,10614, Intel Core i3-6006U (2.0 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""",,, 1.86 кг 
 сірий металік ,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 1050, 4 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook Pro 15 N580VD (N580VD-DM441T) Grey Metal (HAN0CV207985434) - Уцінка,27666, Windows 10 ,24699, Intel Core i5-7300HQ (2.5 - 3.5 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""", SSD 128 ГБ ,, 1.99 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", AMD Radeon RX 540, 2 ГБ , HDD 1 ТБ ,Ноутбук Acer Aspire 5 A515-41G (NH.GPYEU.001) Obsidian Black (NHGPYEU001804033EF3400) - Уцінка,13999, Linux ,12555, AMD A10-9620P (2.5 - 3.4 ГГц) , RAM 8 ГБ ,матовий,P,"15.6""",,, 2.2 кг 
 сріблястий,,"' без ОД ', ' LAN ', ' Wi- Fi ', ' Bluetooth ', ' веб-камера '", AMD Radeon 530, 4 ГБ , HDD 1 ТБ ,Ноутбук HP 15-bw564ur (2LD99EA) Silver (CND7291LZV) - Уцінка,13999, DOS ,11500, AMD Quad-Core A12-9720P (2.7 - 3.6 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""",,, 2.1 кг 
