color,discountReason,extras,gpu_brand,gpu_mem,hdd,name,old_price,os,price,processor,ram,screenMate,screenResol,screenSize,ssd,url,weight
синій,,"'без ОД', 'Wi-Fi', 'Bluetooth', 'веб камера'",Intel UHD Graphics 620,,,Ноутбук ASUS ZenBook 3 Deluxe UX490UA-BE099R (90NB0EI1-M04840) Blue (HBN0CY00453145D) - Уцінка,52499,Windows 10 Pro,47357,Intel Core i7-8550U (1.8 - 4.0 ГГц),RAM 16 ГБ,глянсовий,1920x1080,"14.0""",,,1.1 кг
 чорний ,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 1050 Ti, 4 ГБ , HDD 1 ТБ ,Ноутбук Asus ROG Strix GL553VE (GL553VE-FY140T) (H7N0CV01Y021279) - Уцінка,46499, Windows 10 ,40770, Intel Core i7-7700HQ (2.8 - 3.8 ГГц) , RAM 32 ГБ ,матовий,1920x1080,"15.6""", SSD 256 ГБ ,, 2.5 кг 
 золотистий,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 940MX, 2 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook 14 X411UQ (X411UQ-EB091) Gold (J1N0GR03K302039) - Уцінка,21999, Endless OS ,18886, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"14.0""", SSD 128 ГБ ,, 1.35 кг 
 сріблястий,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 620 ,,,Ноутбук Acer Swift 3 SF314-52-54WX (NX.GQGEU.006) Sparkly Silver (NXGQGEU00674800E9F7200) - Уцінка,23899, без ОС ,20699, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 8 ГБ ,глянсовий,P,"14""", SSD 256 ГБ ,, 1.6 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel UHD 620 ,, HDD 1 ТБ ,Ноутбук Lenovo ThinkPad E480 (20KN005CRT) Black (SPF13R92Z) - Уцінка,20871, DOS ,18713, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 8 ГБ ,матовий,P,"14""",,, 1.75 кг 
 темно-коричневий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 940MX, 2 ГБ , HDD 1 ТБ ,Ноутбук ASUS X756UQ-T4332D (90NB0C31-M03690) Dark Brown (H7N0CX00229926A) - Уцінка,17568, DOS ,15770, Intel Core i3-7100U (2.4 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"17.3""",,, 2.69 кг 
 темно-коричневий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 940MX, 2 ГБ , HDD 1 ТБ ,Ноутбук ASUS X756UQ-T4332D (90NB0C31-M03690) Dark Brown (H7N0CX002254266) - Уцінка,17568, DOS ,15770, Intel Core i3-7100U (2.4 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"17.3""",,, 2.69 кг 
 темно-коричневий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 920MX, 2 ГБ , HDD 1 ТБ ,Ноутбук ASUS VivoBook Max X541UV-GQ485 (90NB0CG1-M14200) Chocolate Black (H8N0CX23Y40835A) - Уцінка,15999, Endless OS ,14640, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1366x768,"15.6""",,, 2 кг 
 золотистий ,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX150, 2 ГБ ,,Ноутбук ASUS ZenBook UX430UN-GV049T (90NB0GH6-M00620) Gold (J5N0CV00592418H) - Уцінка,29740, Windows 10 ,24479, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"14.0""", SSD 256 ГБ ,, 1.3 кг 
 сірий,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 1050 Ti, 4 ГБ ,,Ноутбук Dream Machines Clevo G1050Ti-17 (G1050Ti-17UA22) (BR707838) - Уцінка,35499, DOS ,31920, Intel Core i7-7700HQ (2.8 - 3.8 ГГц) , RAM 16 ГБ ,матовий,P,"17.3""", SSD 500 ГБ ,, 3.1 кг 
