color,discountReason,extras,gpu_brand,gpu_mem,hdd,name,old_price,os,price,processor,ram,screenMate,screenResol,screenSize,ssd,url,weight
 темно-сірий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX150, 4 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook 15 X542UN (X542UN-DM041) Dark Grey (HBN0CV07Z61645A) - Уцінка,26965, Endless OS ,22950, Intel Core i7-8550U (1.8 - 4.0 ГГц) , RAM 16 ГБ ,матовий,1920x1080,"15.6""", SSD 128 ГБ ,https://rozetka.com.ua/ua/47142528/p47142528/, 2.3 кг 
 сірий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 610 ,, HDD 1 ТБ ,Ноутбук HP ProBook 430 G4 (W6P97AV_V8) (5CD7403R83) - Уцінка,14744, DOS ,12599, Intel Pentium 4415U (2.3 ГГц) , RAM 8 ГБ ,матовий,V,"13.3""", SSD 128 ГБ ,https://rozetka.com.ua/ua/47524032/p47524032/, 1.49 кг 
 сріблястий,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 620 ,,,Ноутбук Acer Swift 3 SF314-52-54WX (NX.GQGEU.006) Sparkly Silver (NXGQGEU00674800E9F7200) - Уцінка,23899, без ОС ,20699, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 8 ГБ ,глянсовий,P,"14""", SSD 256 ГБ ,https://rozetka.com.ua/ua/47257528/p47257528/, 1.6 кг 
 сріблястий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 810M, 2 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook Max X541NC (X541NC-DM009) Silver (H8N0GR04254835B) - Уцінка,9999, без ОС ,8189, Intel Pentium N4200 (1.1 - 2.5 ГГц) , RAM 4 ГБ ,матовий,1920x1080,"15.6""",,https://rozetka.com.ua/ua/47528104/p47528104/, 2 кг 
 чорний,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 515 ,,,Ноутбук Dell Latitude 7370 (210-AHGT-M5-8-256) carbon (60371N2) - Уцінка,23599, Windows 10 Pro 64bit ,21879, Intel Core M5-6Y57 (1.1 - 2.8 ГГц) , RAM 8 ГБ ,покриттям,P,"13.3""", SSD 256 ГБ ,https://rozetka.com.ua/ua/49946142/p49946142/, 1.12 кг 
 чорний,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 515 ,,,Ноутбук Dell Latitude 7370 (210-AHGT-M5-8-256) carbon (FKR90N2) - Уцінка,23599, Windows 10 Pro 64bit ,21879, Intel Core M5-6Y57 (1.1 - 2.8 ГГц) , RAM 8 ГБ ,покриттям,P,"13.3""", SSD 256 ГБ ,https://rozetka.com.ua/ua/49946150/p49946150/, 1.12 кг 
 чорний,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 515 ,,,Ноутбук Dell Latitude 7370 (210-AHGT-M5-8-256) carbon (JHX6NN2) - Уцінка,23599, Windows 10 Pro 64bit ,21999, Intel Core M5-6Y57 (1.1 - 2.8 ГГц) , RAM 8 ГБ ,покриттям,P,"13.3""", SSD 256 ГБ ,https://rozetka.com.ua/ua/49946158/p49946158/, 1.12 кг 
 сірий ,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 620 ,,,Ноутбук ASUS ZenBook 3 Deluxe UX490UA-BE022R (90NB0EI3-M01530) Gray (H5N0CY009173196) - Уцінка,39546, Windows 10 Professional 64bit ,36960, Intel Core i7-7500U (2.7 - 3.5 ГГц) , RAM 16 ГБ ,глянсовий,P,"14.0""", SSD 1 ТБ ,https://rozetka.com.ua/ua/49090078/p49090078/, 1.2 кг 
сірий металік,,"'без ОД', 'LAN', 'Wi-Fi', 'Bluetooth', 'веб-камера'",nVidia GeForce GTX 1050, 4 ГБ,,Asus VivoBook Pro 15 N580VD (N580VD-FI434T) Grey Metal (HAN0CV19U649435) - Уцінка,41499,Windows 10,39359,Intel Core i7-7700HQ (2.8 - 3.8 ГГц),RAM 16 ГБ,матовий,3840X2160,"15.6""", SSD 512 ГБ,https://rozetka.com.ua/ua/49090350/p49090350/,1.99 кг
 синій ,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 940MX, 2 ГБ ,,Ноутбук Asus ZenBook UX430UQ (UX430UQ-GV156T) Royal Blue (H7N0CV01N710273) - Уцінка,33999, Windows 10 ,30149, Intel Core i7-7500U (2.7 - 3.5 ГГц) , RAM 16 ГБ ,матовий,P,"14.0""", SSD 512 ГБ ,https://rozetka.com.ua/ua/47557168/p47557168/, 1.25 кг 
 темно-сірий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 940MX, 2 ГБ ,,Ноутбук Asus VivoBook 15 X542UQ (X542UQ-DM026) Dark Grey (H8N0CV01U07231D) - Уцінка,18612, Endless OS ,15929, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""", SSD 256 ГБ ,https://rozetka.com.ua/ua/46447536/p46447536/, 2.15 кг 
 сріблястий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 520 ,,,Ноутбук HP Envy 13-d000ur (N7H79EA) (CND64680HK) - Уцінка,21800, Windows 10 Home 64bit ,18344, Intel Core i5-6200U (2.3 - 2.8 ГГц) , RAM 8 ГБ ,матовий,P,"13.3""", SSD 128 ГБ ,https://rozetka.com.ua/ua/46583920/p46583920/, 1.36 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 1070, 8 ГБ , HDD 1 ТБ ,Ноутбук MSI GE72MVR-7RG Apache Pro (GE72MVR7RG-075XUA) (K1712N0066242) - Уцінка,56999, DOS ,49801, Intel Core i7-7700HQ (2.8 - 3.8 ГГц) , RAM 32 ГБ ,матовий,1920x1080,"17.3""", SSD 256 ГБ ,https://rozetka.com.ua/ua/47532072/p47532072/, 2.9 кг 
чорний,,"'DVD +', '-RW', 'LAN', 'Wi-Fi', 'Bluetooth', 'веб-камера'",AMD Radeon 530, 4 ГБ,,Ноутбук Dell Inspiron 5570 (I515F716H2S2DDL-8BK) Black (20S7142) - Уцінка,28699,Linux,22941,Intel Core i7-8550U (1.8 - 4.0 ГГц),RAM 16 ГБ,покриттям,1920x1080,"15.6""", SSD 256 ГБ,https://rozetka.com.ua/ua/45440160/p45440160/,2.02 кг
 сірий,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel UHD 620 ,,,Ноутбук Lenovo Yoga 520-14IKB (81C800DCRA) Mineral Grey (SMP1CNGU2) - Уцінка,29958, Windows 10 Home ,27719, Intel Core i7-8550U (1.8 - 4.0 ГГц) , RAM 8 ГБ ,матовий,P,"14""", SSD 256 ГБ ,https://rozetka.com.ua/ua/49946190/p49946190/, 1.74 кг 
 сірий,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX150, 2 ГБ ,,Ноутбук Lenovo IdeaPad 320S-13IKB (81AK00ALRA) Mineral Grey (SYD03V2TY) - Уцінка,21999, DOS ,19799, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 8 ГБ ,матовий,P,"13.3""", SSD 256 ГБ ,https://rozetka.com.ua/ua/49946206/p49946206/, 1.2 кг 
 сірий,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel UHD 620 ,,,Ноутбук Lenovo Yoga 520-14IKB (81C800DCRA) Mineral Grey (SMP1CNGUS) - Уцінка,29958, Windows 10 Home ,28319, Intel Core i7-8550U (1.8 - 4.0 ГГц) , RAM 8 ГБ ,матовий,P,"14""", SSD 256 ГБ ,https://rozetka.com.ua/ua/49090438/p49090438/, 1.74 кг 
 синій ,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX150, 2 ГБ ,,Ноутбук ASUS ZenBook UX430UN-GV027T (90NB0GH5-M00570) Blue (HBN0CV16D48347G) - Уцінка,36299, Windows 10 ,34080, Intel Core i7-8550U (1.8 - 4.0 ГГц) , RAM 16 ГБ ,матовий,1920x1080,"14.0""", SSD 512 ГБ ,https://rozetka.com.ua/ua/49090094/p49090094/, 1.3 кг 
 темно-сірий ,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 1050 Ti, 4 ГБ , HDD 1 ТБ ,Ноутбук ASUS ROG Strix GL503GE-EN044T (90NR0081-M00550) Scar Gunmetal (J3NRCX05W023148) - Уцінка,45599, Windows 10 64bit ,42624, Intel Core i7-8750H (2.2 - 4.1 ГГц) , RAM 16 ГБ ,матовий,1920x1080,"15.6""", SSD 128 ГБ ,https://rozetka.com.ua/ua/49089486/p49089486/, 2.6 кг 
 сірий ,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD graphics 620 ,, HDD 1 ТБ ,Ноутбук Asus VivoBook S14 S410UA (S410UA-EB105T) Grey (HAN0GR03L384426) - Уцінка,22820, Windows 10 ,19889, Intel Core i3-7100U (2.4 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"14.0""", SSD 128 ГБ ,https://rozetka.com.ua/ua/47559512/p47559512/, 1.43 кг 
 темно-сірий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 940MX, 2 ГБ , HDD 1 ТБ ,Ноутбук ASUS VivoBook 15 X542UQ-DM028T (90NB0FD2-M00350) Dark Grey (HAN0CV051936419) - Уцінка,27899, Windows 10 ,23511, Intel Core i7-7500U (2.7 - 3.5 ГГц) , RAM 16 ГБ ,матовий,1920x1080,"15.6""", SSD 128 ГБ ,https://rozetka.com.ua/ua/47585728/p47585728/, 2.15 кг 
 бронзовий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GT 940MX, 2 ГБ , HDD 1 ТБ ,Ноутбук Lenovo IdeaPad 520-15IKB (80YL00STRA) Bronze (SPF0V2617) - Уцінка,16772, Windows 10 Home ,13676, Intel Core i3-7100U (2.4 ГГц) , RAM 4 ГБ ,матовий,P,"15.6""",,https://rozetka.com.ua/ua/45241048/p45241048/, 2.2 кг 
 сріблястий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 950M, 4 ГБ , HDD 2 ТБ ,Ноутбук HP Envy 15-ae003ur (N0K97EA) (CND5434WKG) - Уцінка,26999, Windows 8.1 64bit ,19620, Intel Core i7-5500U (2.4 ГГц) , RAM 12 ГБ ,матовий,1920x1080,"15.6""",,https://rozetka.com.ua/ua/46842520/p46842520/, 2.36 кг 
 чохол,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера ', ' Windows 10 '", Intel UHD Graphics 620 ,,,Ноутбук Asus ZenBook 13 UX331UA (UX331UA-EG012T) Slate Grey (HAN0CV20653043D) - Уцінка,28843, 1.12 кг ,27323, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"13.3""", SSD 256 ГБ ,https://rozetka.com.ua/ua/49946214/p49946214/, сірий 
,,,,, HDD 1 ТБ ,Ноутбук ASUS FX553VE-DM406 (90NB0DX7-M06150) Black Red (HBN0CV23783648C) - Уцінка,24599, RAM 8 ГБ ,22769, Intel Core i5-7300HQ (2.5 - 3.5 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""",,https://rozetka.com.ua/ua/49946246/p49946246/, HDD 1 ТБ 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 620 ,,,Ноутбук Lenovo ThinkPad T570 (20H9005ART) (SR90PY30Y) - Уцінка,48583, Windows 10 Pro 64bit ,43999, Intel Core i7-7500U (2.7 - 3.5 ГГц) , RAM 16 ГБ ,матовий,P,"15.6""", SSD 512 ГБ ,https://rozetka.com.ua/ua/49946254/p49946254/, 2.04 кг 
 чорний,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 1050, 2 ГБ ,,Ноутбук Dream Machines Clevo G1050-15 (G1050-15UA22) (BK240047) - Уцінка,29999, DOS ,25919, Intel Core i7-7700HQ (2.8 - 3.8 ГГц) , RAM 16 ГБ ,матовий,P,"15.6""", SSD 500 ГБ ,https://rozetka.com.ua/ua/47549976/p47549976/, 2.3 кг 
 2.7 кг ,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth '", nVidia GeForce GTX 950M, 4 ГБ , HDD 1 ТБ ,Ноутбук Asus N752VX (N752VX-GB158T) (G7N0CY00U010306) - Уцінка,32118, веб-камера ,30335, Intel Core i5-6300HQ (2.3 - 3.2 ГГц) , RAM 16 ГБ ,матовий,P,"17.3""", SSD 128 ГБ ,https://rozetka.com.ua/ua/49090358/p49090358/, Windows 10 
 золотистий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 930MX, 2 ГБ , HDD 1 ТБ ,Ноутбук Asus Vivobook 14 X405UR (X405UR-BM030) Gold (HAN0CX052641416) - Уцінка,12499, Endless OS ,11116, Intel Pentium 4405U (2.1 ГГц) , RAM 4 ГБ ,матовий,1920x1080,"14.0""",,https://rozetka.com.ua/ua/46289952/p46289952/, 1.42 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 1070, 8 ГБ , HDD 1 ТБ ,Ноутбук MSI GE73VR-7RF Raider 4K (GE73VR7RF-277UA) (K1710N0063112) - Уцінка,80534, Windows 10 ,60158, Intel Core i7-7700HQ (2.8 - 3.8 ГГц) , RAM 32 ГБ ,матовий,P,"17.3""", 2 x SSD 128 ГБ ,https://rozetka.com.ua/ua/43233072/p43233072/, 2.8 кг 
 темно-сірий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 940MX, 2 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook 15 X542UQ (X542UQ-DM028T) Dark Grey (HAN0CV05194141C) - Уцінка,27899, Windows 10 ,21869, Intel Core i7-7500U (2.7 - 3.5 ГГц) , RAM 16 ГБ ,матовий,1920x1080,"15.6""", SSD 128 ГБ ,https://rozetka.com.ua/ua/47235808/p47235808/, 2.15 кг 
 темно-сірий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", AMD Radeon R5 ,, HDD 1 ТБ ,Ноутбук Asus VivoBook 15 X542BA (X542BA-DM021) Dark Grey (HBN0CV05687545F) - Уцінка,12033, Endless OS ,10146, AMD Dual Core A9-9420 (3.0 - 3.6 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""",,https://rozetka.com.ua/ua/46645096/p46645096/, 2.3 кг 
 сірий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 620 ,, HDD 1 ТБ ,Ноутбук HP ProBook 430 G4 (Z2Y77ES) (5CD6518WSV) - Уцінка,16499, DOS ,13229, Intel Core i3-7100U (2.4 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"13.3""",,https://rozetka.com.ua/ua/47214752/p47214752/, 1.49 кг 
 чорний,,"' DVD+', '-RW ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 520 ,, HDD 1 ТБ ,Ноутбук Dell Inspiron 3567 (I315H34H10DIW-6BK) Black (6QYB4L2) - Уцінка,11699, Windows 10 Home Ukr ,9989, Intel Core i3-6006U (2.0 ГГц) , RAM 4 ГБ ,глянсовий,1366x768,"15.6""",,https://rozetka.com.ua/ua/47628184/p47628184/, 2.3 кг 
 сірий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GT 940MX, 2 ГБ ,,Ноутбук Dell Vostro 14 5468 (N016VN5468EMEA01_U) (5W43Z32) - Уцінка,20508, Linux ,15469, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1366x768,"14""", SSD 256 ГБ ,https://rozetka.com.ua/ua/47531152/p47531152/, 1.59 кг 
 чорний,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics ,, HDD 500 ГБ ,Ноутбук HP 250 G4 (M9S89EA) (CND550989J) - Уцінка,13299, DOS ,10764, Intel Core i5-5200U (2.2 - 2.7 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""",,https://rozetka.com.ua/ua/46470072/p46470072/, 2.15 кг 
,,,,, HDD 1 ТБ ,Ноутбук Asus FX553VE (FX553VE-DM406) Black (HBN0CV23785048G) - Уцінка,24599, RAM 8 ГБ ,20700, Intel Core i5-7300HQ (2.5 - 3.5 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""",,https://rozetka.com.ua/ua/47049904/p47049904/, HDD 1 ТБ 
 чорний,,"' без ОД', ' LAN', ' Wi-Fi', ' Bluetooth', ' веб-камера'", Intel UHD Graphics 620,,,Ноутбук Dell Latitude 5590 (N025L559015EMEA_UBU) Black (F72RJM2) - Уцінка,29160, Ubuntu Linux,23374, Intel Core i5-8250U (1.6 - 3.4 ГГц), RAM 8 ГБ,матовий,P,"15.6""", SSD 256 ГБ,https://rozetka.com.ua/ua/45431680/p45431680/, 1.88 кг
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX150, 4 ГБ , HDD 1 ТБ ,Ноутбук Lenovo IdeaPad 320-17IKB (81BJ003JRA) Onyx Black (SPF112UBT) - Уцінка,21999, DOS ,18899, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 8 ГБ ,матовий,P,"17.3""", SSD 128 ГБ ,https://rozetka.com.ua/ua/46140800/p46140800/, 2.8 кг 
 сріблястий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 810M, 2 ГБ ,,Ноутбук Asus VivoBook Max X541NC (X541NC-DM035) Silver (H9N0GR01A124366) - Уцінка,9999, без ОС ,8459, Intel Pentium N4200 (1.1 - 2.5 ГГц) , RAM 4 ГБ ,матовий,1920x1080,"15.6""", SSD 128 ГБ ,https://rozetka.com.ua/ua/47244616/p47244616/, 2 кг 
 темно-коричневий,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 920MX, 2 ГБ , HDD 500 ГБ ,Ноутбук ASUS VivoBook X540UV-GQ004 (90NB0HE1-M00040) Chocolate Black (J1N0GR03L21803F) - Уцінка,11511, Endless OS ,9629, Intel Core i3-6006U (2.0 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""",,https://rozetka.com.ua/ua/48063846/p48063846/, 2 кг 
 сірий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GT 940MX, 4 ГБ ,,Ноутбук Dell Vostro 15 5568 (N037VN5568EMEA01_1801_UBU) Gray (B10DY32) - Уцінка,20599, Ubuntu Linux ,17999, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""", SSD 256 ГБ ,https://rozetka.com.ua/ua/47252896/p47252896/, 1.98 кг 
 сріблястий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 920MX, 2 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook Max X541UV (X541UV-GQ997) Silver (H8N0CX21Z398358) - Уцінка,15999, Endless OS ,13949, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,глянсовий,1366x768,"15.6""",,https://rozetka.com.ua/ua/47046768/p47046768/, 2 кг 
 сріблястий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб камера '", Intel HD Graphics 620 ,, HDD 500 ГБ ,Ноутбук Asus VivoBook Max X541UA (X541UA-GQ1555D) Silver (H3N0CX008237096) - Уцінка,9999, DOS ,8370, Intel Core i3-7100U (2.4 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""",,https://rozetka.com.ua/ua/46894304/p46894304/, 2 кг 
рожево-золотистий,,"'без ОД', 'Wi-Fi', 'Bluetooth', 'веб-камера'",nVidia GeForce MX150, 2 ГБ,,Ноутбук Asus ZenBook UX430UN (UX430UN-GV047T) Rose Gold (HBN0CV16D38347E) - Уцінка,30399,Windows 10,26099,Intel Core i5-8250U (1.6 - 3.4 ГГц),RAM 8 ГБ,матовий,1920x1080,"14.0""",,https://rozetka.com.ua/ua/47003816/p47003816/,1.3 кг
,,,,, HDD 1 ТБ ,Ноутбук Asus FX553VE (FX553VE-DM406) Black (HCN0CV003898486) - Уцінка,24599, RAM 8 ГБ ,20700, Intel Core i5-7300HQ (2.5 - 3.5 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""",,https://rozetka.com.ua/ua/47101928/p47101928/, HDD 1 ТБ 
 чорний,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics ,, HDD 500 ГБ ,Ноутбук HP 250 G4 (M9S89EA) (CND550960M) - Уцінка,13299, DOS ,10265, Intel Core i5-5200U (2.2 - 2.7 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""",,https://rozetka.com.ua/ua/42437592/p42437592/, 2.15 кг 
 білий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 940MX, 2 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook 15 X542UQ (X542UQ-DM045) White (H9N0CV04N486362) - Уцінка,18599, Endless OS ,15840, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""",,https://rozetka.com.ua/ua/47003120/p47003120/, 2.3 кг 
 темно-коричневий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 920MX, 2 ГБ ,,Ноутбук Asus VivoBook Max X541UV (X541UV-GQ989) Chocolate Black (H8N0CX21W610352) - Уцінка,13258, Endless OS ,11249, Intel Core i3-7100U (2.4 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""", SSD 128 ГБ ,https://rozetka.com.ua/ua/46140648/p46140648/, 2 кг 
 сріблястий,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GT 940MX, 2 ГБ ,,Ноутбук Lenovo IdeaPad 710S Plus-13ISK (80VU002PRA) Silver (SMP172D4C) - Уцінка,28939, Windows 10 Home ,25065, Intel Core i7-6500U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,глянсовий,P,"13.3""", SSD 512 ГБ ,https://rozetka.com.ua/ua/47050144/p47050144/, 1.18 кг 
,,,,, HDD 1 ТБ ,Ноутбук Asus FX553VE (FX553VE-DM406) Black (HCN0CV00385348D) - Уцінка,24599, RAM 8 ГБ ,20700, Intel Core i5-7300HQ (2.5 - 3.5 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""",,https://rozetka.com.ua/ua/47050176/p47050176/, HDD 1 ТБ 
 сірий металік ,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX150, 2 ГБ ,,Ноутбук Asus ZenBook UX430UN (UX430UN-GV044T) Grey Metal (HBN0CV09M81746C) - Уцінка,30399, Windows 10 ,25764, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"14.0""", SSD 256 ГБ ,https://rozetka.com.ua/ua/45451024/p45451024/, 1.3 кг 
 сірий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 620 ,,,Ноутбук Dell Vostro 14 5468 (N017VN5468EMEA01_1801_UBU) (7L6D9H2) - Уцінка,20499, Linux ,16029, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1366x768,"14""", SSD 256 ГБ ,https://rozetka.com.ua/ua/45455152/p45455152/, 1.59 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 620 ,,,Ноутбук Dell Latitude 5480 (N038L548014EMEA_D) (FXGGGH2) - Уцінка,27566, DOS ,20078, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"14.0""", SSD 256 ГБ ,https://rozetka.com.ua/ua/36392352/p36392352/, 1.6 кг 
 сірий,,"' DVD+', '-RW ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel UHD 620 ,,,Ноутбук Lenovo IdeaPad V330-15IKB (81AX00ARRA) Iron Grey (SR90Q0Z5Z) - Уцінка,24173, Windows 10 Pro 64bit ,19980, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 8 ГБ ,покриттям,1920x1080,"15.6""", SSD 256 ГБ ,https://rozetka.com.ua/ua/47503688/p47503688/, 1.8 кг 
 темно-сірий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 940MX, 2 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook 15 X542UQ (X542UQ-DM028) Dark Grey (H8N0CV01J507312) - Уцінка,23711, Endless OS ,20610, Intel Core i7-7500U (2.7 - 3.5 ГГц) , RAM 16 ГБ ,матовий,1920x1080,"15.6""", SSD 128 ГБ ,https://rozetka.com.ua/ua/47050000/p47050000/, 2.15 кг 
 сірий ,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX150, 4 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook S14 S410UN (S410UN-EB056T) Grey (HBN0GR03290746C) - Уцінка,29099, Windows 10 ,25109, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 12 ГБ ,матовий,1920x1080,"14.0""", SSD 256 ГБ ,https://rozetka.com.ua/ua/47549184/p47549184/, 1.43 кг 
 золотистий ,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 1050, 4 ГБ , HDD 1 ТБ ,Ноутбук Asus Vivobook Pro N580VD (N580VD-FY440) Gold (J1N0CV01J396017) - Уцінка,29599, Endless OS ,26099, Intel Core i5-7300HQ (2.5 - 3.5 ГГц) , RAM 8 ГБ ,матовий,P,"15.6""", SSD 128 ГБ ,https://rozetka.com.ua/ua/47070536/p47070536/, 2.2 кг 
 червоний,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 940MX, 2 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook 15 X542UQ (X542UQ-DM038) Red (H9N0CV054068366) - Уцінка,18899, без ОС ,16058, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""",,https://rozetka.com.ua/ua/46454208/p46454208/, 2.15 кг 
