color,discountReason,extras,gpu_brand,gpu_mem,hdd,name,old_price,os,price,processor,ram,screenMate,screenResol,screenSize,ssd,url,weight
 сірий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 620 ,, HDD 500 ГБ ,Ноутбук HP ProBook 430 G4 (Y8B91EA) (5CD7327RY5) - Уцінка,16999, Windows 10 Pro 64bit ,13464, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 4 ГБ ,матовий,1366x768,"13.3""",,https://rozetka.com.ua/ua/50023750/p50023750/, 1.49 кг 
 сумка,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера ', ' DOS '", Intel UHD Graphics 620 ,, HDD 1 ТБ ,Ноутбук HP ProBook 430 G5 (1LR34AV_V2) Silver (5CD74179N9) - Уцінка,21999, 1.49 кг ,18894, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"13.3""", SSD 128 ГБ ,https://rozetka.com.ua/ua/41384376/p41384376/, сірий 
 чорний,,"' DVD+', '-RW ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 620 ,,,Ноутбук HP 250 G6 (3DN12ES) Dark Ash (CND8020F2T) - Уцінка,17793, DOS ,13015, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""", SSD 128 ГБ ,https://rozetka.com.ua/ua/47488688/p47488688/, 1.86 кг 
 черный ,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 1070, 8 ГБ , HDD 1 ТБ ,Ноутбук Asus ROG Strix GL502VS (GL502VS-GZ302T) Black (H4N0CV07K680166) - Уцінка,55555, Windows 10 ,47253, Intel Core i7-7700HQ (2.8 - 3.8 ГГц) , RAM 32 ГБ ,матовый,P,"15.6""", SSD 512 ГБ ,https://rozetka.com.ua/ua/33129695/p33129695/, 2.24 кг 
 чорний,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics ,, HDD 500 ГБ ,Ноутбук HP 250 G4 (M9S89EA) (CND55098LV) - Уцінка,13299, DOS ,11113, Intel Core i5-5200U (2.2 - 2.7 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""",,https://rozetka.com.ua/ua/46894568/p46894568/, 2.15 кг 
 темно-сірий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 940MX, 2 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook 15 X542UQ (X542UQ-DM003) Dark Grey (H9N0CV05881436G) - Уцінка,18499, Endless OS ,15881, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"15.6""",,https://rozetka.com.ua/ua/46687560/p46687560/, 2.15 кг 
 білий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 505 ,, HDD 500 ГБ ,Ноутбук Asus Vivobook E502NA (E502NA-DM014) White (H3N0CV04B58310D) - Уцінка,7999, без ОС ,6749, Intel Pentium N4200 (1.1 - 2.5 ГГц) , RAM 4 ГБ ,матовий,1920x1080,"15.6""",,https://rozetka.com.ua/ua/47628128/p47628128/, 1.86 кг 
 темно-сірий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 940MX, 2 ГБ ,,Ноутбук Asus VivoBook 15 X542UQ (X542UQ-DM027T) Dark Grey (H7N0CV00568626F) - Уцінка,19299, Windows 10 ,15660, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 6 ГБ ,матовий,1920x1080,"15.6""", SSD 256 ГБ ,https://rozetka.com.ua/ua/47342000/p47342000/, 2.15 кг 
 чорний ,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 1060, 6 ГБ , HDD 1 ТБ ,Ноутбук Asus ROG Strix GL703VM (GL703VM-EE043T) Black (HBN0CX219312467) - Уцінка,57999, Windows 10 ,46764, Intel Core i7-7700HQ (2.8 - 3.8 ГГц) , RAM 32 ГБ ,матовий,1920x1080,"17.3""", SSD 256 ГБ ,https://rozetka.com.ua/ua/45919760/p45919760/, 2.95 кг 
 сріблястий,,"' DVD +', '- RW ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 5500 ,, HDD 500 ГБ ,Ноутбук Dell Inspiron 5758 (I57H345DIL-5SL) Silver (7TNRTC2) - Уцінка,13999, Linux ,11430, Intel Core i3-5005U (2.0 ГГц) , RAM 4 ГБ ,глянсовий,1600x900,"17.3""",,https://rozetka.com.ua/ua/47252448/p47252448/, 2.83 кг 
